Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
36	-13719.2	-13717.2	-2.03296	0.702356	0.0644657	0.0452277	0.863085	0.00127666	0.000508514	0.0554483	0.00359407	0.000108414	0.00222492	0.0360583	0.00444676	0.00307124	0.0986451	0.100773	0.497626	0.0657598	0.00459963	0.150136	0.0119601	0.212205	0.00232738	0.0698877	0.138485	0.165461	0.209196	0.0991887	0.105392	0.358409	0.0623534	0.0746916	0.36464	0.925738	2.63493	0.298415	0.179632	0.21691	0.305044	2.43192
37	-13717.1	-13715.3	-1.85469	0.717178	0.0581892	0.0495437	0.814987	0.00322245	0.000689415	0.0445392	0.000971077	4.50545e-05	0.00423125	0.0243274	0.00783579	0.00206901	0.0897564	0.0975879	0.464264	0.0730083	0.00484189	0.139421	0.0446456	0.288587	0.00369495	0.0499936	0.147569	0.151015	0.19824	0.0939941	0.118995	0.350875	0.086881	0.0778607	0.371524	0.931071	2.61954	0.28655	0.187384	0.218619	0.307447	2.41402
38	-13717.1	-13714.6	-2.52082	0.708739	0.0682453	0.053671	0.860169	0.00253612	0.000505762	0.0452232	0.000146889	3.56753e-05	0.00115494	0.0385319	0.00499607	0.00122321	0.0741396	0.151743	0.431622	0.0856012	0.0066142	0.116156	0.0177936	0.284903	0.0171981	0.0766348	0.141831	0.14017	0.202071	0.102102	0.121294	0.345803	0.0885599	0.0760558	0.367624	0.928064	2.62826	0.294076	0.192305	0.22436	0.289259	2.48067
39	-13716.2	-13711.5	-4.69298	0.693473	0.0912867	0.0632948	0.860169	0.00234385	0.00162352	0.0434918	0.000312028	1.95931e-05	0.000300656	0.0368809	0.00546275	0.00132098	0.112954	0.105324	0.564625	0.0600239	0.010203	0.154575	0.0450444	0.313225	0.0109857	0.0438624	0.170638	0.157762	0.197936	0.100013	0.118813	0.338728	0.086748	0.0727947	0.360434	0.922425	2.64435	0.298953	0.190976	0.22281	0.287261	2.69797
40	-13710.3	-13708.1	-2.13333	0.758857	0.0928015	0.048245	0.860169	0.000581419	0.00199928	0.0416126	0.000565045	1.20244e-05	0.000536037	0.0319667	0.00441594	0.00245629	0.0912238	0.111693	0.481972	0.0675091	0.00639913	0.179439	0.0309648	0.220462	0.0165291	0.0355745	0.114548	0.152333	0.191125	0.095721	0.116252	0.360306	0.0842628	0.0867792	0.390027	0.944869	2.57833	0.292106	0.186603	0.217708	0.303583	2.44167
41	-13710	-13708.3	-1.78722	0.758857	0.0575168	0.0496938	0.928313	0.000188501	0.00176628	0.034128	0.000316155	1.69517e-05	0.000318958	0.0331681	0.00592083	0.00214358	0.0826073	0.107769	0.452798	0.0606957	0.00227496	0.121213	0.0479024	0.225501	0.0128438	0.039847	0.140121	0.175776	0.182989	0.100614	0.111303	0.344968	0.0843504	0.0867792	0.390027	0.944869	2.57833	0.292106	0.186603	0.217708	0.303583	2.40706
42	-13712.7	-13706.8	-5.88838	0.677842	0.06097	0.0496938	1.06993	0.000137166	0.000888444	0.0401995	0.00048019	1.40711e-05	0.000269994	0.036667	0.00940696	0.000934002	0.105572	0.121925	0.535057	0.0746169	0.00345158	0.189585	0.0347046	0.279571	0.00735035	0.0574374	0.138723	0.164844	0.23082	0.0955641	0.104381	0.325286	0.0791046	0.069463	0.352885	0.916372	2.66128	0.292106	0.186603	0.217708	0.303583	2.81759
43	-13716.6	-13712.3	-4.23699	0.631996	0.113796	0.0359962	0.964353	0.000376912	0.00166213	0.0444256	0.00328076	1.57056e-05	0.000204433	0.0385544	0.00254028	0.00416729	0.10873	0.125742	0.486956	0.0686877	0.00214334	0.145304	0.0224587	0.273364	0.00693789	0.0629005	0.140079	0.165969	0.225572	0.0962161	0.105093	0.327505	0.0796444	0.0597671	0.329597	0.896804	2.71383	0.292106	0.186603	0.217708	0.303583	2.65268
44	-13723.7	-13717.8	-5.98829	0.678885	0.138894	0.0528826	0.955037	0.000182888	0.00140769	0.0573056	0.00250637	3.64439e-05	0.000357751	0.0343468	0.00288112	0.00416729	0.0838831	0.11228	0.548392	0.0688709	0.00246108	0.15893	0.0492166	0.324205	0.00965267	0.0353438	0.184331	0.141246	0.191971	0.107556	0.0894389	0.402007	0.0677806	0.0696849	0.353395	0.916785	2.66014	0.292106	0.186603	0.217708	0.303583	2.82757
45	-13712.1	-13707.4	-4.67352	0.691036	0.101319	0.0544349	0.955037	0.000373371	0.000660305	0.0501423	0.00162306	5.24992e-05	6.94135e-05	0.0453283	0.00315322	0.00407158	0.0763565	0.137703	0.571929	0.0643824	0.00137248	0.16055	0.0431071	0.235103	0.0091467	0.0464707	0.133649	0.159532	0.205546	0.105078	0.0833292	0.35575	0.0907648	0.0722746	0.35927	0.921501	2.64695	0.290032	0.185278	0.216162	0.308528	2.69603
46	-13715.5	-13712.1	-3.46471	0.681318	0.0969845	0.0433706	0.956649	0.00052403	0.000185919	0.0552272	0.00173968	3.64611e-05	0.00011903	0.0452709	0.00236205	0.00546893	0.0778487	0.103316	0.560612	0.0512877	0.00268734	0.154166	0.0276364	0.199415	0.010194	0.0570067	0.123091	0.171025	0.230912	0.10089	0.0936126	0.315471	0.0880893	0.070203	0.35458	0.917744	2.65747	0.291686	0.180633	0.217394	0.310287	2.5752
47	-13716.1	-13714.8	-1.35075	0.703395	0.0676384	0.0467131	0.832457	0.000534342	0.000672228	0.0358331	0.000936422	9.38613e-05	6.81524e-05	0.0396799	0.00369445	0.00548654	0.0866199	0.107782	0.540438	0.0863412	0.00159147	0.103132	0.0226941	0.179774	0.0173549	0.0618507	0.122309	0.170246	0.229859	0.10043	0.112146	0.314033	0.0732861	0.0749137	0.365128	0.92612	2.63384	0.286313	0.195726	0.21339	0.304572	2.36369
48	-13722.3	-13719.4	-2.84056	0.712674	0.107669	0.0574011	0.835015	0.000616053	0.000447251	0.0236815	0.00124378	7.67961e-05	0.000153957	0.0402029	0.00556425	0.00587593	0.0704702	0.123368	0.510168	0.0839879	0.000631438	0.174355	0.0424257	0.218237	0.02324	0.0410625	0.146736	0.165561	0.223535	0.0976671	0.10442	0.31818	0.0906367	0.0768973	0.369449	0.929476	2.62418	0.298123	0.183715	0.222192	0.29597	2.51263
49	-13709.7	-13706.5	-3.14259	0.741955	0.0853205	0.0485622	0.814125	0.000985822	0.000351968	0.0418099	0.000639644	3.4686e-05	0.000247715	0.033092	0.00700421	0.00243357	0.120975	0.0939972	0.557118	0.0839879	0.00171177	0.130297	0.0295469	0.25167	0.0101428	0.0540786	0.174553	0.155895	0.203059	0.0886578	0.0983235	0.36872	0.0853447	0.083163	0.382671	0.939476	2.59469	0.295899	0.189805	0.220534	0.293761	2.54269
