Species ID,Order,Family,Genus,Species,Genus.species,Authority,Synonyms,Common names (Eng),Red List status,Red List criteria
56085,ANURA,HYPEROLIIDAE,Afrixalus,weidholzi,Afrixalus.weidholzi,"(Mertens, 1938)",Megalixalus weidholzi  ,Weidholz's Banana Frog,LC,
56086,ANURA,HYPEROLIIDAE,Afrixalus,wittei,Afrixalus.wittei,"(Laurent, 1941)",,,LC,
55288,ANURA,HYLIDAE,Agalychnis,annae,Agalychnis.annae,"(Duellman, 1963)",Phyllomedusa  annae ,"Blue-sided Treefrog, Orange-eyed Tree Frog",EN,B1ab(iii)
55703,ANURA,HYLIDAE,Agalychnis,aspera,Agalychnis.aspera,"(Peters, 1873)",Hylomantis aspera,,LC,
55843,ANURA,HYLIDAE,Agalychnis,buckleyi,Agalychnis.buckleyi,"(Boulenger, 1882)",Hyla porifera  |Hylomantis buckleyi|Phyllomedusa loris  ,,LC,
55290,ANURA,HYLIDAE,Agalychnis,callidryas,Agalychnis.callidryas,"(Cope, 1862)",Agalychnis callidryas subspecies taylori|Agalychnis helenae  |Agalychnis  callidryas subspecies callidryas |Hyla  callidryas |Phyllomedusa  callidryas|Phyllomedusa  helenae,"Red-eyed Treefrog, Red-eyed Leaf frog",LC,
55813,ANURA,HYLIDAE,Agalychnis,dacnicolor,Agalychnis.dacnicolor,"(Cope, 1864)",Pachymedusa dacnicolor|Phyllomedusa dacnicolor,"Mexican Giant Tree Frog, Mexican Leaf Frog",LC,
55848,ANURA,HYLIDAE,Agalychnis,danieli,Agalychnis.danieli,"(Ruíz-Carranza, Hernandez-Camacho & Rueda-Almonacid, 1988)",Hylomantis danieli|Phyllomedusa danieli,,DD,
55704,ANURA,HYLIDAE,Agalychnis,granulosa,Agalychnis.granulosa,"(Cruz, 1989)",Hylomantis granulosa|Phyllomedusa granulosa,,LC,
55852,ANURA,HYLIDAE,Agalychnis,hulli,Agalychnis.hulli,"(Duellman & Mendelson, 1995)",Hylomantis hulli|Phyllomedusa hulli,,LC,
55855,ANURA,HYLIDAE,Agalychnis,lemur,Agalychnis.lemur,"(Boulenger, 1882)",Hylomantis lemur|Phyllomedusa lemur,Lemur Leaf Frog,CR,A4ace
55292,ANURA,HYLIDAE,Agalychnis,litodryas,Agalychnis.litodryas,"(Duellman & Trueb, 1967)",,Pink-sided Treefrog,VU,B1ab(iii)
55856,ANURA,HYLIDAE,Agalychnis,medinae,Agalychnis.medinae,"(Funkhouser, 1962)",Hylomantis medinae|Hylomantis medinai|Phyllomedusa medinae,,DD,
55293,ANURA,HYLIDAE,Agalychnis,moreletii,Agalychnis.moreletii,"(Duméril, 1853)",Agalychnis holochlora|Hyla holochlora|Hyla moreletii|Phyllomedusa moreletii,"Black-eyed Leaf Frog, Morelet's Treefrog",CR,A3e
55861,ANURA,HYLIDAE,Agalychnis,psilopygion,Agalychnis.psilopygion,"(Cannatella, 1980)",Hylomantis psilopygion|Phyllomedusa psilopygion,,DD,
55294,ANURA,HYLIDAE,Agalychnis,saltator,Agalychnis.saltator,"Taylor, 1955",Phyllomedusa  saltator ,Misfit Leaf Frog,LC,
55295,ANURA,HYLIDAE,Agalychnis,spurrelli,Agalychnis.spurrelli,"Boulenger, 1913",Agalychnis  litodryas|Phyllomedusa  litodryas |Phyllomedusa  spurrelli,"Gliding Treefrog, Gliding Leaf Frog",LC,
57383,ANURA,MANTELLIDAE,Aglyptodactylus,laticeps,Aglyptodactylus.laticeps,"Glaw, Vences & Böhme, 1998",,,EN,B1ab(iii)
57384,ANURA,MANTELLIDAE,Aglyptodactylus,madagascariensis,Aglyptodactylus.madagascariensis,"(Duméril, 1853)",Hylarana  madagascariensis|Limnodytes  madagascariensis |Mantidactylus  madagascariensis|Mantidactylus  purpureus |Rana  inguinalis |Rana  madagascariensis,Madagascar Jumping Frog,LC,
57385,ANURA,MANTELLIDAE,Aglyptodactylus,securifer,Aglyptodactylus.securifer,"Glaw, Vences & Böhme, 1998",,,LC,
58318,ANURA,CERATOBATRACHIDAE,Alcalus,baluensis,Alcalus.baluensis,"(Boulenger, 1896)",Ingerana baluensis,"Balu Eastern Frog , Dwarf Mountain Frog",LC,
41226,ANURA,CERATOBATRACHIDAE,Alcalus,mariae,Alcalus.mariae,"(Inger, 1954)",Ingerana mariae,,DD,
56087,ANURA,HYPEROLIIDAE,Alexteroon,hypsiphonus,Alexteroon.hypsiphonus,"Amiet, 2000",,,LC,
56088,ANURA,HYPEROLIIDAE,Alexteroon,jynx,Alexteroon.jynx,"Amiet, 2000",,,CR,B1ab(iii)+2ab(iii)
56089,ANURA,HYPEROLIIDAE,Alexteroon,obstetricans,Alexteroon.obstetricans,"(Ahl, 1931)",,,LC,
55045,ANURA,AROMOBATIDAE,Allobates,alessandroi,Allobates.alessandroi,"(Grant & Rodríguez, 2001)",Colostethus alessandroi  ,,DD,
190978,ANURA,AROMOBATIDAE,Allobates,algorei,Allobates.algorei,"Barrio-Amorós & Santos, 2009",,Spotted nurse frog,LC,
55058,ANURA,AROMOBATIDAE,Allobates,bromelicola,Allobates.bromelicola,"(Test, 1956)",Colostethus bromelicola  ,,DD,
55059,ANURA,AROMOBATIDAE,Allobates,brunneus,Allobates.brunneus,"(Cope, 1887)",Colostethus brunneus  ,,LC,
55060,ANURA,AROMOBATIDAE,Allobates,caeruleodactylus,Allobates.caeruleodactylus,"(Lima & Caldwell, 2001)",Colostethus caeruleodactylus  ,,DD,
136097,ANURA,AROMOBATIDAE,Allobates,caribe,Allobates.caribe,"(Barrio-Amorós, Rivas & Kaiser, 2006)",Colostethus caribe  ,,DD,
55064,ANURA,AROMOBATIDAE,Allobates,cepedai,Allobates.cepedai,"(Morales, 2002 ""2000"")",Colostethus cepedai  |Colostethus cepedai  ,,DD,
55066,ANURA,AROMOBATIDAE,Allobates,chalcopis,Allobates.chalcopis,"(Kaiser, Coloma & Gray, 1994)",Colostethus chalcopis  ,Martinique Volcano Frog,VU,D2
55068,ANURA,AROMOBATIDAE,Allobates,conspicuus,Allobates.conspicuus,"(Morales, 2002)",Colostethus conspicuus  ,,DD,
55069,ANURA,AROMOBATIDAE,Allobates,crombiei,Allobates.crombiei,"(Morales, 2002)",Colostethus crombiei  ,,DD,
55038,ANURA,AROMOBATIDAE,Allobates,femoralis,Allobates.femoralis,"(Boulenger, 1884)",,,LC,
55084,ANURA,AROMOBATIDAE,Allobates,fratisenescus,Allobates.fratisenescus,"(Morales, 2002)",Colostethus fratisenescus  ,,DD,
55088,ANURA,AROMOBATIDAE,Allobates,fuscellus,Allobates.fuscellus,"(Morales, 2002)",Colostethus fuscellus  ,,DD,
55089,ANURA,AROMOBATIDAE,Allobates,gasconi,Allobates.gasconi,"(Morales, 2002)",Colostethus gasconi  ,,DD,
55090,ANURA,AROMOBATIDAE,Allobates,goianus,Allobates.goianus,"(Bokermann, 1975)",Colostethus goianus  ,,DD,
136167,ANURA,AROMOBATIDAE,Allobates,granti,Allobates.granti,"(Kok, MacCulloch, Gaucher, Poelman, Bourne, Lathrop & Lenglet, 2006)",Colostethus granti  ,,LC,
55092,ANURA,AROMOBATIDAE,Allobates,humilis,Allobates.humilis,"(Rivero, 1978)",Colostethus humilis  ,,VU,D2
55097,ANURA,AROMOBATIDAE,Allobates,insperatus,Allobates.insperatus,"(Morales, 2002)",Colostethus insperatus  ,,LC,
55099,ANURA,AROMOBATIDAE,Allobates,juanii,Allobates.juanii,"(Morales, 1994)",Colostethus juanii  |Colostethus juanii  ,,CR,"B2ab(i,iii)"
55100,ANURA,AROMOBATIDAE,Allobates,kingsburyi,Allobates.kingsburyi,"(Boulenger, 1918)",Colostethus kingsburyi  ,,EN,B1ab(iii)
55108,ANURA,AROMOBATIDAE,Allobates,mandelorum,Allobates.mandelorum,"(Schmidt, 1932)",Colostethus mandelorum  ,,EN,B1ab(iii)
55110,ANURA,AROMOBATIDAE,Allobates,marchesianus,Allobates.marchesianus,"(Melin, 1941)",Colostethus marchesianus  ,,LC,
