Species ID,Genus,Species,genus_species,Authority,Synonyms,Common names (Eng),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
59440,Hypselotriton,cyanurus,Hypselotriton_cyanurus,"Liu, Hu & Yang, 1962",Cynops cyanurus,"Chuxiong Fire-bellied Newt, Cyan Newt",LC,,3.1,2004,decreasing,N
59442,Hypselotriton,orientalis,Hypselotriton_orientalis,"(David, 1873)",Cynops orientalis,Oriental Fire-bellied Newt,LC,,3.1,2004,decreasing,N
59443,Hypselotriton,orphicus,Hypselotriton_orphicus,"Risch, 1983",Cynops orphicus,Dayang Newt,EN,"B1ab(iii,v)+2ab(iii,v)",3.1,2004,decreasing,N
59445,Hypselotriton,wolterstorffi,Hypselotriton_wolterstorffi,"(Boulenger, 1905)",Cynops wolterstorffi,Yunnan Lake Newt,EX,,3.1,2004,,N
59472,Ichthyosaura,alpestris,Ichthyosaura_alpestris,"(Laurenti, 1768)",Mesotriton alpestris|Triturus alpestris  |Triturus alpestris  ,Alpine Newt,LC,,3.1,2009,decreasing,N
59461,Laotriton,laoensis,Laotriton_laoensis,"(Stuart & Papenfuss, 2002)",Paramesotriton laoensis,,EN,"B1ab(iii,v)",3.1,2014,decreasing,N
59486,Liangshantriton,taliangensis,Liangshantriton_taliangensis,"(Liu, 1950)",Tylototriton taliangensis,Taliang Knobby Newt,NT,,3.1,2004,decreasing,N
59473,Lissotriton,boscai,Lissotriton_boscai,"(Lataste, 1879)",Triturus boscai  |Triturus boscai  ,"Bosca's Newt, Iberian Newt",LC,,3.1,2009,stable,N
59475,Lissotriton,helveticus,Lissotriton_helveticus,"(Razoumowsky, 1789)",Triturus helveticus  |Triturus helveticus  ,Palmate Newt,LC,,3.1,2009,stable,N
59476,Lissotriton,italicus,Lissotriton_italicus,"(Peracca, 1898)",Triturus italicus  |Triturus italicus  ,Italian Newt,LC,,3.1,2009,decreasing,N
59478,Lissotriton,montandoni,Lissotriton_montandoni,"(Boulenger, 1860)",Triturus montandoni  |Triturus montandoni  ,Carpathian Newt,LC,,3.1,2009,decreasing,N
59481,Lissotriton,vulgaris,Lissotriton_vulgaris,"(Linnaeus, 1758)",Triturus vulgaris  ,Smooth Newt,LC,,3.1,2009,stable,N
61913,Lyciasalamandra,antalyana,Lyciasalamandra_antalyana,"(Basoglu & Baran, 1976)",,,EN,B1ab(iii),3.1,2009,decreasing,N
61914,Lyciasalamandra,atifi,Lyciasalamandra_atifi,"(Basoglu, 1967)",,,EN,B1ab(iii),3.1,2009,stable,N
61915,Lyciasalamandra,billae,Lyciasalamandra_billae,"(Franzen & Klewen, 1987)",,,CR,B1ab(iii),3.1,2009,decreasing,N
61916,Lyciasalamandra,fazilae,Lyciasalamandra_fazilae,"(Basoglu and Atatür, 1974)",,,EN,B1ab(iii),3.1,2009,stable,N
61917,Lyciasalamandra,flavimembris,Lyciasalamandra_flavimembris,"(Mutz and Steinfartz, 1995)",,,EN,B1ab(iii),3.1,2009,decreasing,N
61918,Lyciasalamandra,helverseni,Lyciasalamandra_helverseni,"(Pieper, 1963)",,,VU,D2,3.1,2009,stable,N
41241,Lyciasalamandra,luschani,Lyciasalamandra_luschani,"(Steindachner, 1891)",,,VU,B1ab(iii),3.1,2009,stable,N
13198,Mertensiella,caucasica,Mertensiella_caucasica,"(Waga, 1876)",,Caucasian Salamander,VU,"B2ab(ii,iii)",3.1,2009,decreasing,N
14734,Neurergus,crocatus,Neurergus_crocatus,"Cope, 1862",,"Lake Urmia Newt, Azerbaijan Newt",VU,B2ab(iii),3.1,2009,decreasing,N
59450,Neurergus,kaiseri,Neurergus_kaiseri,"Schmidt, 1952",Neurergus crocatus subspecies kaiseri,"Luristan Newt, Kaiser's Spotted Newt, Kaiser's Mountain Newt",CR,"A2d; B2ab(iii,v)",3.1,2009,decreasing,N
59451,Neurergus,microspilotus,Neurergus_microspilotus,"(Nesterov, 1916)",Rhithrotriton derjugini variety derjugini|Rhithrotriton derjugini variety microspilotus,Kurdistan Newt,CR,"A3cde+4cde; B2ab(iii,iv,v)",3.1,2009,decreasing,N
14735,Neurergus,strauchii,Neurergus_strauchii,"(Steindachner, 1887)",,,VU,B1ab(iii),3.1,2009,decreasing,N
59452,Notophthalmus,meridionalis,Notophthalmus_meridionalis,"(Cope, 1880)",Diemyctylus kallerti|Diemyctylus  miniatus  subspecies meridionalis |Molge  meridionalis|Notophthalmus kallerti|Triturus  kallerti|Triturus  meridionalis ,"Black-spotted Newt, Texas Newt, Texas Triton",EN,"B2ab(iii,iv,v)",3.1,2008,decreasing,N
14872,Notophthalmus,perstriatus,Notophthalmus_perstriatus,"(Bishop, 1941)",,Striped Newt,NT,,3.1,2004,decreasing,N
59453,Notophthalmus,viridescens,Notophthalmus_viridescens,"(Rafinesque, 1820)",,Eastern Newt,LC,,3.1,2015,stable,N
136019,Ommatotriton,ophryticus,Ommatotriton_ophryticus,"(Berthold, 1846)",,Northern Banded Newt,NT,,3.1,2009,decreasing,N
