Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
330	-2225.6	-1848.19	-377.416	461.655	0.924755	9.96735e-05	0.897727	0.0270288	0.160444	0.298545	0.0761228	0.116005	0.235636	0.113248	0.941476	0.984277	1.01449	1.05976	-4.00142	0.319605	0.214235	0.177032	0.289128	0.897727
340	-2212.94	-1838.62	-374.317	196.078	1.13161	0.00012072	1.09742	0.0341893	0.213769	0.261876	0.0667732	0.0932485	0.254393	0.10994	0.91074	0.97538	1.02171	1.09217	-3.91822	0.381533	0.178139	0.147204	0.293124	1.09742
350	-2215.22	-1832.79	-382.432	118.395	0.836652	9.46831e-05	0.796371	0.0402815	0.142896	0.251101	0.0590078	0.116519	0.224808	0.205669	0.885718	0.967797	1.02738	1.11911	-4.02373	0.36033	0.184246	0.152251	0.303173	0.796371
360	-2218.49	-1832.23	-386.259	129.91	1.26063	0.000103555	1.23192	0.0287056	0.273389	0.19608	0.0729464	0.117159	0.175549	0.164877	0.890785	0.969358	1.02624	1.11361	-3.98483	0.373426	0.195229	0.141922	0.289423	1.23192
370	-2223.11	-1829.2	-393.916	117.174	0.672811	8.99135e-05	0.632133	0.0406776	0.206644	0.246069	0.0620719	0.227901	0.132691	0.124624	0.885138	0.967618	1.02751	1.11974	-4.04618	0.373247	0.1797	0.162094	0.28496	0.632133
380	-2225.66	-1828.52	-397.137	232.053	0.583731	7.96835e-05	0.555481	0.0282501	0.198685	0.279434	0.073035	0.113274	0.218457	0.117114	0.917834	0.977473	1.02006	1.08463	-4.09863	0.341238	0.174564	0.155197	0.329001	0.555481
390	-2215.82	-1819.32	-396.498	85.6928	0.621768	8.93353e-05	0.569338	0.0524292	0.190382	0.224638	0.0750801	0.10854	0.28914	0.11222	0.866222	0.961673	1.03166	1.14044	-4.04898	0.371827	0.180987	0.143334	0.303852	0.569338
400	-2222.16	-1822.94	-399.216	550.469	0.48126	7.31079e-05	0.445212	0.0360476	0.174858	0.315221	0.0527498	0.0929873	0.247709	0.116475	0.946354	0.985648	1.01331	1.05468	-4.13604	0.340817	0.186011	0.160884	0.312288	0.445212
410	-2223.45	-1826.88	-396.571	118.229	0.477943	8.24865e-05	0.448943	0.0290003	0.204473	0.238578	0.0520723	0.189193	0.227528	0.0881553	0.885639	0.967773	1.0274	1.11919	-4.08362	0.339097	0.180287	0.172684	0.307932	0.448943
420	-2224.85	-1823.18	-401.669	193.772	0.52242	8.27796e-05	0.483652	0.038768	0.199128	0.232342	0.0507113	0.121362	0.240098	0.156359	0.91022	0.975225	1.02183	1.09273	-4.08208	0.322055	0.19588	0.147102	0.334963	0.483652
