Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
920	-3883.84	-3622.38	-261.463	0.45015	0.623266	0.000923844	0.584188	0.0390774	0.0991436	0.214288	0.116959	0.0508647	0.441562	0.0771825	0.0245638	0.218133	0.780311	2.97699	-3.0344	0.193077	0.345065	0.310858	0.150999	0.584188
930	-3879.25	-3618.4	-260.855	0.40213	0.393228	0.00108389	0.344455	0.0487733	0.0911639	0.156983	0.107915	0.0639625	0.505523	0.0744514	0.017023	0.183346	0.733576	3.06606	-2.96501	0.20497	0.321194	0.31892	0.154915	0.344455
940	-3877.5	-3614.04	-263.463	0.386054	0.414563	0.00105093	0.393032	0.0215313	0.0970085	0.185666	0.115628	0.0656979	0.466355	0.069644	0.0147549	0.171263	0.715737	3.09824	-2.97843	0.191347	0.323866	0.309186	0.175601	0.393032
950	-3880.31	-3619.3	-261.004	0.436039	0.413123	0.000965517	0.383894	0.0292287	0.10397	0.168542	0.104964	0.0596384	0.491228	0.0716586	0.0222382	0.208128	0.767509	3.00213	-3.01524	0.202577	0.342875	0.290455	0.164093	0.383894
960	-3887.7	-3619.22	-268.477	0.387745	0.926041	0.00073157	0.895448	0.0305928	0.102763	0.214998	0.103745	0.0556028	0.452064	0.0708266	0.0149869	0.172544	0.717672	3.0948	-3.13574	0.198112	0.335318	0.306094	0.160476	0.895448
970	-3892.73	-3627.73	-264.994	0.460477	0.233986	0.000903318	0.160623	0.0733636	0.114492	0.193051	0.150316	0.0382779	0.440266	0.0635967	0.0263177	0.225333	0.789235	2.95911	-3.04416	0.207614	0.320274	0.303939	0.168173	0.160623
980	-3874.97	-3614.05	-260.916	0.478969	0.524154	0.000913324	0.495272	0.0288826	0.0755964	0.175452	0.151133	0.0701402	0.461961	0.0657169	0.0295592	0.237965	0.804341	2.92813	-3.03938	0.196961	0.354049	0.288342	0.160648	0.495272
990	-3877.54	-3616.81	-260.723	0.509869	0.497502	0.000903581	0.468752	0.0287502	0.0924318	0.177016	0.129532	0.0649928	0.468134	0.0678943	0.0352311	0.258309	0.827318	2.87914	-3.04403	0.19547	0.323101	0.314228	0.167202	0.468752
1000	-3875.91	-3615.86	-260.048	0.505638	0.357244	0.000901043	0.320986	0.0362577	0.0944791	0.161658	0.107808	0.0584847	0.501378	0.076192	0.0344375	0.255581	0.824328	2.88565	-3.04525	0.194633	0.326	0.312882	0.166486	0.320986
1010	-3879.12	-3613.37	-265.741	0.403125	0.235697	0.000853797	0.198948	0.0367488	0.134229	0.188895	0.112297	0.0580044	0.431009	0.0755663	0.0171678	0.184087	0.73464	3.0641	-3.06865	0.179344	0.341982	0.31319	0.165483	0.198948
