Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
370	-11802.7	-10882.4	-920.287	0.793703	1.48128	0.000522968	1.45821	0.0230703	0.150857	0.221275	0.0301395	0.156064	0.303261	0.138403	0.0942182	0.404587	0.955195	2.546	-3.28152	0.314825	0.158636	0.163951	0.362589	1.45821
380	-11796.3	-10872.1	-924.156	0.857156	1.46472	0.000520087	1.44924	0.0154781	0.161727	0.24982	0.0312384	0.13507	0.293315	0.12883	0.10765	0.429166	0.971615	2.49157	-3.28392	0.323575	0.163045	0.168507	0.344873	1.44924
390	-11814.4	-10882	-932.419	0.781644	1.33033	0.000482536	1.29056	0.0397724	0.147458	0.227778	0.0341576	0.192862	0.267434	0.13031	0.0916472	0.399637	0.951736	2.55698	-3.31647	0.349291	0.166399	0.152452	0.331858	1.29056
400	-11811.9	-10868.9	-943.024	0.814904	1.25899	0.000510318	1.24955	0.00943148	0.153216	0.236673	0.0354915	0.157726	0.281495	0.135399	0.098726	0.413066	0.961001	2.52721	-3.29216	0.331657	0.169903	0.161674	0.336766	1.24955
410	-11833.4	-10889.6	-943.755	0.676038	1.10476	0.000500708	1.07084	0.0339191	0.145293	0.265381	0.0393059	0.162485	0.266938	0.120597	0.069079	0.352001	0.915654	2.66327	-3.30042	0.310152	0.149969	0.164318	0.375561	1.07084
420	-11819.3	-10917.4	-901.945	0.656947	1.62566	0.000528182	1.60688	0.0187797	0.153921	0.251845	0.037301	0.149666	0.270019	0.137248	0.0650268	0.342488	0.907806	2.68468	-3.27722	0.314714	0.158938	0.166734	0.359614	1.60688
430	-11804.7	-10908.9	-895.85	1.00719	2.09243	0.000588371	2.06108	0.0313476	0.148894	0.238576	0.0360826	0.164434	0.276796	0.135218	0.138386	0.478902	1.00118	2.38153	-3.23035	0.328339	0.158034	0.185465	0.328162	2.06108
440	-11792.5	-10884.1	-908.387	0.800849	1.65669	0.000562687	1.60365	0.0530417	0.175732	0.231772	0.0393199	0.149279	0.272536	0.131362	0.0957394	0.407476	0.95719	2.53959	-3.24973	0.321297	0.15447	0.170656	0.353577	1.60365
450	-11792.2	-10881.9	-910.325	0.742591	1.97531	0.000580907	1.93757	0.0377446	0.170433	0.224784	0.0356933	0.144778	0.29691	0.127401	0.0832991	0.382951	0.939684	2.59407	-3.23589	0.341971	0.150679	0.168849	0.338501	1.93757
460	-11789.7	-10885.5	-904.231	0.808931	1.87245	0.000549586	1.84945	0.0230003	0.176984	0.238148	0.0339627	0.153063	0.285301	0.112541	0.0974576	0.410705	0.959399	2.53244	-3.25996	0.335167	0.149714	0.168893	0.346226	1.84945
