Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
220	-14453.5	-14435.9	-17.671	0.526752	0.0273603	0.000940344	1.099	0.000212911	0.00057923	0.00654469	0.00950974	0.0923818	0.116541	0.00149736	0.00414171	0.0922795	0.0512093	0.00158717	0.526279	0.022228	0.218415	0.994247	0.0410497	0.215029	0.118708	0.271314	0.0855477	0.18297	0.172994	0.134164	0.113787	0.290234	0.105851	0.0384468	0.269022	0.838798	2.85373	0.293418	0.191317	0.215501	0.299763	3.99661
230	-14457.1	-14438.4	-18.7076	0.624373	0.0396443	0.0029457	1.14144	0.000242721	0.000648543	0.00545362	0.00890393	0.11816	0.142619	0.00302434	0.0030302	0.102685	0.0509095	0.000445346	0.427132	0.0320329	0.193362	1.14585	0.0480643	0.17422	0.075419	0.307306	0.0762392	0.178498	0.168766	0.130885	0.111006	0.307581	0.103264	0.0581708	0.325552	0.893262	2.72302	0.293418	0.191317	0.215501	0.299763	4.09977
240	-14464.5	-14442	-22.4586	0.535689	0.0499494	0.00371304	1.42163	0.000670661	0.00202631	0.00748811	0.00221775	0.0546362	0.0985004	0.0063859	0.00273817	0.139129	0.0482752	0.000355984	0.819755	0.0664473	0.191667	0.810253	0.0357008	0.117737	0.10615	0.388141	0.101756	0.184884	0.174804	0.0854361	0.142058	0.305859	0.106958	0.0401781	0.274577	0.844594	2.84065	0.296151	0.183784	0.217509	0.302556	4.47532
250	-14467.7	-14448.1	-19.6348	0.535689	0.0540144	0.00559831	1.31048	0.0024779	0.00341565	0.00684584	0.0142899	0.0953885	0.157926	0.00448623	0.00313405	0.139609	0.037729	0.000145617	0.628855	0.0519308	0.183351	0.847156	0.0654598	0.158074	0.0575357	0.25464	0.110387	0.181985	0.172063	0.0840965	0.139831	0.301064	0.120961	0.0401781	0.274577	0.844594	2.84065	0.296151	0.183784	0.217509	0.302556	4.19293
260	-14464.8	-14448	-16.825	0.595056	0.0282369	0.0014799	1.0822	0.00236422	0.00154617	0.00485587	0.00608889	0.0649903	0.128119	0.00213341	0.00951781	0.0915091	0.0533126	0.00012405	0.671771	0.06404	0.141942	0.835213	0.0805881	0.29855	0.0802342	0.190146	0.072701	0.18012	0.1703	0.127852	0.166778	0.273065	0.0818852	0.05209	0.309513	0.878776	2.75962	0.293912	0.182394	0.223426	0.300268	3.91166
270	-14457.2	-14441.8	-15.3365	0.664602	0.0403213	0.00219141	1.11527	0.00220179	0.00169358	0.00308853	0.0049013	0.111913	0.151984	0.00386949	0.00817856	0.12277	0.0400268	9.29713e-05	0.43148	0.0500971	0.244492	0.794834	0.0449377	0.249563	0.0480245	0.215355	0.0751849	0.180668	0.170818	0.109783	0.167286	0.280541	0.0909048	0.0666492	0.346338	0.91101	2.676	0.294898	0.183007	0.220819	0.301276	3.76247
280	-14445.8	-14431.8	-13.9773	0.655408	0.0330128	0.00187116	1.02563	0.00342341	0.0008286	0.00792033	0.00315974	0.0913143	0.131829	0.00142871	0.00168822	0.103636	0.0610084	6.59237e-05	0.447801	0.0256733	0.213593	0.824287	0.0459856	0.166627	0.0676595	0.261172	0.106974	0.173773	0.190096	0.105593	0.160902	0.2822	0.0874357	0.064701	0.341708	0.907153	2.68644	0.294898	0.183007	0.220819	0.301276	3.62659
290	-14448.8	-14431.8	-17.0016	0.614983	0.0337897	0.00151328	0.885377	0.000853815	0.00263798	0.00770539	0.00540055	0.0920789	0.140415	0.00140733	0.00229351	0.127966	0.0537133	7.85918e-05	0.621623	0.0283622	0.157038	1.03674	0.0704747	0.218933	0.0851942	0.249712	0.105919	0.170669	0.186701	0.103707	0.171849	0.27716	0.0899136	0.0562123	0.320499	0.888775	2.73451	0.294898	0.183007	0.220819	0.301276	3.92922
300	-14450.9	-14437.2	-13.6523	0.608138	0.049809	0.00185986	0.851532	0.000227406	0.00115529	0.00626529	0.00721049	0.0920789	0.12216	0.00185684	0.00123869	0.087341	0.046979	0.000302129	0.538447	0.0363149	0.16278	0.915696	0.0325835	0.255772	0.0706692	0.196478	0.115571	0.17242	0.173398	0.111557	0.173612	0.280003	0.0890102	0.0547907	0.316765	0.885414	2.74303	0.294898	0.183007	0.220819	0.301276	3.59433
310	-14453.8	-14436.5	-17.3447	0.576035	0.0364139	0.00144033	1.11914	0.00012114	0.00112387	0.00685309	0.00707058	0.0954679	0.117246	0.00662878	0.00614508	0.103335	0.0540586	0.00068649	0.538202	0.0212259	0.225524	0.851535	0.0557033	0.140765	0.11089	0.368446	0.09571	0.180736	0.181761	0.113297	0.116318	0.314584	0.0933032	0.0482059	0.298685	0.868582	2.78453	0.294898	0.183007	0.220819	0.301276	3.96373
