Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
37	-14449.3	-14431.5	-17.8702	0.592189	0.0442424	0.000990665	1.2116	0.00155833	0.00289933	0.00636962	0.00273525	0.119779	0.105995	0.00274868	0.00209656	0.088871	0.0422135	0.00174949	0.525295	0.026906	0.196246	0.862365	0.0754208	0.230513	0.0941356	0.237375	0.134092	0.186126	0.199435	0.096871	0.118905	0.305877	0.092785	0.0515011	0.307902	0.877281	2.76332	0.293187	0.188492	0.218794	0.299527	4.0162
38	-14456.2	-14439	-17.2381	0.57108	0.0328119	0.00701883	1.2116	0.00506607	0.00632751	0.00978437	0.00289483	0.099509	0.137227	0.00248484	0.000835744	0.104146	0.0365846	0.00763026	0.464311	0.028697	0.189188	0.851928	0.0894052	0.226172	0.0634419	0.263995	0.11203	0.184057	0.199942	0.0971172	0.119208	0.306655	0.0930209	0.0472035	0.295809	0.865816	2.79117	0.293187	0.188492	0.218794	0.299527	3.95309
39	-14453.3	-14432.4	-20.8248	0.576258	0.0448566	0.00302509	1.03943	0.00376827	0.00137658	0.00996069	0.00393675	0.111992	0.161913	0.00250097	0.000596914	0.120092	0.0616234	0.00477551	0.701292	0.041807	0.168026	1.04567	0.0802676	0.20993	0.0733246	0.327256	0.0943171	0.176213	0.19444	0.124087	0.116582	0.298216	0.0904611	0.0482511	0.298815	0.868706	2.78423	0.293187	0.188492	0.218794	0.299527	4.31173
40	-14451.2	-14438.6	-12.5552	0.610278	0.0344289	0.00623289	0.865568	0.00209142	0.00320305	0.00944948	0.00155913	0.100836	0.097203	0.0010288	0.00154932	0.0870015	0.0457228	0.00203859	0.495158	0.027456	0.175826	0.861877	0.0558069	0.127472	0.0430863	0.312599	0.127412	0.195377	0.19442	0.109199	0.1354	0.275152	0.0904518	0.0552346	0.317937	0.886473	2.74035	0.293187	0.188492	0.218794	0.299527	3.48461
41	-14457.8	-14443.1	-14.6606	0.654222	0.0452757	0.00251992	0.887434	0.00157375	0.00939212	0.00564445	0.000953428	0.11533	0.119666	0.00241867	0.00444937	0.132151	0.051633	0.00155026	0.502479	0.0334509	0.212877	0.827727	0.0591999	0.122639	0.0780237	0.38563	0.092905	0.151753	0.213812	0.123052	0.148905	0.263004	0.0994738	0.0644501	0.341105	0.906647	2.6878	0.293224	0.188516	0.218822	0.299437	3.69492
42	-14448.4	-14433	-15.3998	0.644012	0.0530525	0.00120394	1.04928	0.000494608	0.00357795	0.00348813	0.00210745	0.110322	0.101684	0.00120797	0.00623541	0.0994626	0.0516446	0.00627111	0.453679	0.0332908	0.185409	0.886965	0.0387346	0.212251	0.072631	0.281091	0.114808	0.149317	0.21038	0.115494	0.136845	0.2873	0.100665	0.0622941	0.335871	0.902212	2.69962	0.297053	0.187495	0.217637	0.297815	3.76889
43	-14457.9	-14439.3	-18.6332	0.578456	0.0498657	0.00209094	0.956655	0.000360577	0.0034778	0.0070159	0.00348253	0.0873446	0.139136	0.00209517	0.00485878	0.100685	0.0599885	0.00640696	0.654218	0.0500501	0.195076	0.935145	0.0437055	0.283279	0.142463	0.27436	0.0908014	0.147662	0.208049	0.13344	0.135329	0.284118	0.0914018	0.0486972	0.300083	0.869917	2.7813	0.297053	0.187495	0.217637	0.297815	4.09256
44	-14454.9	-14441.5	-13.4205	0.643972	0.0416172	0.000856615	0.798786	0.0006077	0.00291722	0.00645206	0.0112723	0.102037	0.135032	0.00176406	0.00492851	0.1023	0.0509221	0.00514586	0.443084	0.0549903	0.160473	0.993883	0.0452271	0.252732	0.0880764	0.16444	0.103423	0.149239	0.210271	0.124186	0.136774	0.287152	0.0923778	0.0622856	0.33585	0.902195	2.69967	0.297053	0.187495	0.217637	0.297815	3.57097
45	-14451.9	-14436.2	-15.6205	0.604693	0.0463515	0.000622256	0.806977	0.00111597	0.00291182	0.00555298	0.00560624	0.103586	0.118693	0.000721126	0.00520786	0.119396	0.0496333	0.0057954	0.708764	0.0223871	0.156908	0.986221	0.0596096	0.307615	0.0637094	0.119859	0.0939145	0.156993	0.173755	0.115742	0.146631	0.307845	0.099035	0.0540774	0.314871	0.883694	2.74736	0.29559	0.187885	0.21809	0.298435	3.79116
46	-14452.8	-14431	-21.7704	0.527217	0.0452236	0.000575861	1.27244	0.00183414	0.00349734	0.00410131	0.00281747	0.103586	0.136568	0.000652989	0.00582847	0.118788	0.074795	0.0029126	0.673209	0.0376165	0.200941	0.961138	0.0438182	0.321312	0.0849347	0.194218	0.115732	0.15336	0.205002	0.119875	0.120461	0.31884	0.0824625	0.0385364	0.269313	0.839104	2.85305	0.29559	0.187885	0.21809	0.298435	4.40654
