Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi[1]	pi[2]	pi[3]	pi[4]	TL
22	-11893.5	-11903.3	9.87102	0.898218	0.00140372	0.004044	0.012316	0.00521954	0.0522926	0.0405816	0.00728425	0.0337799	0.000590393	0.457294	0.000239176	0.000846793	0.0366288	0.0190924	0.145241	0.137748	0.0394529	0.0894802	0.00343746	0.0253748	0.0406085	0.0418527	0.0457355	0.123417	0.256953	0.0651879	0.0701052	0.421114	0.063223	0.116225	0.443866	0.980851	2.45906	0.30101	0.194072	0.20947	0.295447	1.24054
23	-11893	-11903.4	10.4009	1.3061	0.00119418	0.00113495	0.0174898	0.00318562	0.0764374	0.0431841	0.00502506	0.0333574	0.00122747	0.443863	0.000265164	0.000328653	0.0407046	0.0123533	0.14027	0.107101	0.0357846	0.0829893	0.00584116	0.0255	0.0369602	0.0299325	0.0413892	0.106383	0.243487	0.074225	0.0545539	0.468686	0.0526644	0.193757	0.552742	1.03667	2.21683	0.30101	0.194072	0.20947	0.295447	1.18552
24	-11893.2	-11904.1	10.8839	0.922073	0.00032465	0.00276183	0.0235431	0.0052216	0.0401525	0.0347735	0.00385374	0.0277674	0.000788022	0.432059	0.000178988	0.000178608	0.0261723	0.0124622	0.179859	0.088262	0.047871	0.0685772	0.00846047	0.028134	0.026141	0.0235651	0.0580235	0.0951368	0.281561	0.0663783	0.0906877	0.419139	0.047097	0.121155	0.452007	0.985784	2.44105	0.30101	0.194072	0.20947	0.295447	1.13913
25	-11885	-11894.8	9.80031	1.03952	0.000758318	0.00303738	0.0225982	0.00239791	0.043312	0.0329327	0.00263407	0.0341725	0.00183907	0.471421	0.000265419	0.000160177	0.0330657	0.0172574	0.179537	0.0938082	0.0532175	0.0979049	0.00463253	0.0254412	0.0396458	0.0385186	0.0483502	0.087199	0.274202	0.0685092	0.0651335	0.438069	0.0668868	0.144771	0.488316	1.00625	2.36066	0.29661	0.189017	0.222895	0.291477	1.24691
26	-11885.5	-11895.2	9.74309	1.12897	0.00182878	0.00311744	0.017194	0.00286499	0.0558133	0.0405489	0.00194653	0.0368632	0.00707684	0.471489	0.000363254	0.00102149	0.0270283	0.0129709	0.179677	0.138599	0.0199217	0.0722792	0.00421972	0.037906	0.0362475	0.019625	0.0635804	0.084935	0.267083	0.0696572	0.0634424	0.449732	0.0651502	0.161944	0.512357	1.01847	2.30723	0.29661	0.189017	0.222895	0.291477	1.25218
27	-11890.2	-11900.3	10.0589	0.81065	0.000951171	0.00475474	0.0166365	0.00297507	0.067142	0.0434297	0.000556698	0.028665	0.0055445	0.456936	0.000489533	0.000317131	0.0256395	0.0179565	0.139581	0.137622	0.0367959	0.0828492	0.00261464	0.0212391	0.0403227	0.0362857	0.052892	0.113181	0.250988	0.0647589	0.0923961	0.418107	0.0605689	0.0978228	0.411387	0.959863	2.53093	0.29661	0.189017	0.222895	0.291477	1.2222
28	-11883.7	-11893.6	9.87828	0.927746	0.00155019	0.0025034	0.0204269	0.00463099	0.0445515	0.0383012	0.00231077	0.031807	0.00618533	0.485839	0.000339289	0.000684704	0.0292356	0.00841386	0.168944	0.116398	0.0613887	0.0629194	0.00249119	0.0363548	0.0374127	0.025432	0.0515495	0.105146	0.26521	0.0684283	0.0605258	0.441798	0.058892	0.122321	0.453902	0.986914	2.43686	0.292169	0.186187	0.219558	0.302086	1.23967
29	-11892.9	-11903.2	10.2738	1.09777	0.0013146	0.00176676	0.0295021	0.00396469	0.0560204	0.0283497	0.00102619	0.0327195	0.00881555	0.495479	0.000381686	0.000428262	0.0139604	0.0154533	0.136165	0.126972	0.033841	0.0683139	0.00290989	0.0235835	0.0276517	0.0284298	0.0622234	0.128127	0.28852	0.0744427	0.0574054	0.387437	0.0640683	0.156038	0.504288	1.01448	2.32519	0.292169	0.186187	0.219558	0.302086	1.19927
30	-11888	-11899.2	11.1651	1.02702	0.000647003	0.00415792	0.0190617	0.00256667	0.0370595	0.0341748	0.00138241	0.0374337	0.00828071	0.39417	0.000280557	0.000750806	0.0285788	0.0125671	0.153427	0.105223	0.0388534	0.0538341	0.00404391	0.0269366	0.0384072	0.0406991	0.0679534	0.119108	0.286675	0.0739668	0.0692797	0.384961	0.0660093	0.142313	0.484725	1.00434	2.36862	0.29244	0.185433	0.219761	0.302366	1.11049
31	-11896.8	-11908	11.197	0.963236	0.00139074	0.00333446	0.0199546	0.00657108	0.0236139	0.0341479	0.00160065	0.0304611	0.0075737	0.428742	0.00010561	0.000971688	0.0183261	0.015046	0.153427	0.109037	0.0239517	0.0768074	0.00630509	0.0308336	0.0381128	0.0230957	0.0542115	0.119536	0.275006	0.0698634	0.0627432	0.386345	0.0865062	0.129561	0.465415	0.993631	2.41139	0.291143	0.186543	0.21955	0.302764	1.10762
32	-11894.7	-11904.8	10.1076	1.26479	0.00178757	0.00116894	0.0226055	0.00372199	0.0382931	0.0295574	0.00593103	0.0280464	0.0140318	0.468392	0.000688204	0.00144669	0.0320337	0.010247	0.157777	0.13175	0.0512393	0.0597874	0.00808625	0.0290529	0.0388782	0.0316298	0.0489042	0.121135	0.278684	0.0651784	0.0558259	0.391513	0.0876633	0.186599	0.544069	1.033	2.23633	0.291143	0.186543	0.21955	0.302764	1.21506
